prompt_id,seed,clip_dist
P01H,42,0.4752006530761719
P01H,43,0.4961796998977661
P01H,44,0.4758339524269104
P02H,42,0.46756958961486816
P02H,43,0.4894450902938843
P02H,44,0.46207547187805176
P03H,42,0.2730611562728882
P03H,43,0.279171884059906
P03H,44,0.35798966884613037
P04H,42,0.22084468603134155
P04H,43,0.3010459542274475
P04H,44,0.1983303427696228
P05H,42,0.4759860038757324
P05H,43,0.42327165603637695
P05H,44,0.45055443048477173
P06H,42,0.4143548011779785
P06H,43,0.4324915409088135
P06H,44,0.4081817865371704
P07H,42,0.43548476696014404
P07H,43,0.4105416536331177
P07H,44,0.4895201325416565
P08H,42,0.38848280906677246
P08H,43,0.4101274013519287
P08H,44,0.4643821716308594
P09H,42,0.4123174548149109
P09H,43,0.5162885189056396
P09H,44,0.47254031896591187
P10H,42,0.4492248296737671
P10H,43,0.4839855432510376
P10H,44,0.521384596824646
P11H,42,0.4631502032279968
P11H,43,0.4359375238418579
P11H,44,0.40095067024230957
P12H,42,0.49177777767181396
P12H,43,0.5307897329330444
P12H,44,0.4976664185523987
P13H,42,0.4593563675880432
P13H,43,0.45501571893692017
P13H,44,0.4212028980255127
P14H,42,0.49686723947525024
P14H,43,0.52934730052948
P14H,44,0.5052523016929626
P15H,42,0.604723334312439
P15H,43,0.6223694086074829
P15H,44,0.5443874597549438
P16H,42,0.47702842950820923
P16H,43,0.5373905897140503
P16H,44,0.5082496404647827
P17H,42,0.5440541505813599
P17H,43,0.531732439994812
P17H,44,0.566246747970581
P18H,42,0.38899070024490356
P18H,43,0.3792625069618225
P18H,44,0.44784635305404663
P19H,42,0.5113089084625244
P19H,43,0.5225080847740173
P19H,44,0.48391759395599365
P20H,42,0.5486209392547607
P20H,43,0.5345819592475891
P20H,44,0.5652387142181396
P21H,42,0.6272400617599487
P21H,43,0.6287878751754761
P21H,44,0.6322095394134521
P22H,42,0.6033592820167542
P22H,43,0.5269863605499268
P22H,44,0.516017735004425
P23H,42,0.38337433338165283
P23H,43,0.45993661880493164
P23H,44,0.4259698987007141
P24H,42,0.6291310787200928
P24H,43,0.6207418441772461
P24H,44,0.6247490644454956
P25H,42,0.5576696991920471
P25H,43,0.5614707469940186
P25H,44,0.517387866973877
P26H,42,0.6211886405944824
P26H,43,0.6436824202537537
P26H,44,0.5989166498184204
P27H,42,0.5631046891212463
P27H,43,0.585328221321106
P27H,44,0.5710816383361816
P28H,42,0.58359694480896
P28H,43,0.5986596941947937
P28H,44,0.6184862852096558
P29H,42,0.6656415462493896
P29H,43,0.6691194772720337
P29H,44,0.6842086315155029
P30H,42,0.5665619373321533
P30H,43,0.5853312611579895
P30H,44,0.5096978545188904
P01L,42,0.13230383396148682
P01L,43,0.13929450511932373
P01L,44,0.13294076919555664
P06L,42,0.3632093667984009
P06L,43,0.17342615127563477
P06L,44,0.2878319025039673
P09L,42,0.15928351879119873
P09L,43,0.2398167848587036
P09L,44,0.28291934728622437
P10L,42,0.38500046730041504
P10L,43,0.29612958431243896
P10L,44,0.3783685564994812
P11L,42,0.21612656116485596
P11L,43,0.11167919635772705
P11L,44,0.16527611017227173
P14L,42,0.287176251411438
P14L,43,0.19744086265563965
P14L,44,0.21868133544921875
P17L,42,0.2695838212966919
P17L,43,0.2556569576263428
P17L,44,0.1655341386795044
P19L,42,0.40207135677337646
P19L,43,0.3349423408508301
P19L,44,0.40541166067123413
P23L,42,0.14991307258605957
P23L,43,0.1138986349105835
P23L,44,0.11080348491668701
P28L,42,0.15849405527114868
P28L,43,0.18549078702926636
P28L,44,0.2506862282752991
