step_share,jump_ratio,step_over_gap,step_pos,path_over_gap,run,tier,prompt_id,seed,DR,Mmid,dino,clip,pix,abrupt,online
0.06760277599096298,32.70223617553711,0.5409993529319763,0.4732142857142857,8.002620697021484,R1,high,P01H,42,0.2188595980405807,0.1081081081081081,0.9612834453582764,0.4752006530761719,0.8643697500228882,False,False
0.0253165103495121,4.240626811981201,0.14107979834079742,0.07142857142857142,5.5726399421691895,R1,high,P01H,43,0.3899084627628326,0.2882882882882883,0.9877305626869202,0.4961796998977661,0.8499504923820496,False,False
0.041280023753643036,5.994225025177002,0.21547944843769073,0.42857142857142855,5.219944953918457,R1,high,P01H,44,0.2304056584835052,0.1891891891891892,0.9630113840103148,0.4758339524269104,0.9151155948638916,False,False
0.1527172029018402,21.484355926513672,0.832349956035614,0.16964285714285715,5.450270175933838,R1,high,P02H,42,0.3665714859962463,0.1261261261261261,0.7415554523468018,0.4675695896148681,0.883534848690033,True,False
0.055362775921821594,24.520153045654297,0.6146672964096069,0.4107142857142857,11.102538108825684,R1,high,P02H,43,0.3788688778877258,0.3063063063063063,1.0281020402908323,0.4894450902938843,0.8480965495109558,False,False
0.019982121884822845,2.3839128017425537,0.1538505256175995,0.15178571428571427,7.699409008026123,R1,high,P02H,44,0.3111121952533722,0.1711711711711711,1.041551947593689,0.4620754718780517,0.8089801073074341,False,False
0.026325387880206108,3.582634210586548,0.6348293423652649,0.6071428571428571,24.11471939086914,R1,high,P03H,42,0.4998024702072143,0.4774774774774775,0.7580409049987793,0.2730611562728882,0.9606642127037048,False,False
0.022839564830064774,2.913804292678833,0.851603627204895,0.26785714285714285,37.28633499145508,R1,high,P03H,43,0.4170341491699219,0.3513513513513513,0.6916404366493225,0.279171884059906,0.9432389736175536,False,False
0.021537499502301216,1.9968568086624146,0.5938714742660522,0.22321428571428573,27.573833465576172,R1,high,P03H,44,0.4991952180862427,0.0990990990990991,0.6890080571174622,0.3579896688461303,0.9465471506118774,False,False
0.041794802993535995,5.875702857971191,0.6801671981811523,0.8660714285714286,16.27396583557129,R1,high,P04H,42,0.5115640759468079,0.045045045045045,0.600055992603302,0.2208446860313415,0.9929393529891968,False,False
0.01983594335615635,1.997788667678833,0.8016482591629028,0.2767857142857143,40.41392135620117,R1,high,P04H,43,0.6933605670928955,0.5225225225225225,0.6436781287193298,0.3010459542274475,0.9058797955513,False,False
0.02075619250535965,2.691640853881836,0.8594406247138977,0.4017857142857143,41.40646743774414,R1,high,P04H,44,0.8784747123718262,0.6486486486486487,0.6592342853546143,0.1983303427696228,0.9513954520225524,False,False
0.021432071924209595,2.230327606201172,0.5941526293754578,0.33035714285714285,27.72259521484375,R1,high,P05H,42,0.6018710732460022,0.4504504504504504,0.9827249646186828,0.4759860038757324,1.0266987085342407,False,False
0.02833371050655842,3.1016602516174316,0.8815133571624756,0.16071428571428573,31.11182403564453,R1,high,P05H,43,0.6850706934928894,0.5135135135135135,0.9647729992866516,0.4232716560363769,1.0442242622375488,False,False
0.04110094904899597,5.23940372467041,1.5844351053237915,0.26785714285714285,38.549842834472656,R1,high,P05H,44,0.5380000472068787,0.5855855855855856,0.9879730343818665,0.4505544304847717,1.0497446060180664,False,False
0.039231885224580765,6.747399806976318,0.1844276636838913,0.08035714285714286,4.700963497161865,R1,high,P06H,42,0.2014235407114029,0.2792792792792792,0.9806668758392334,0.4143548011779785,0.8330869674682617,False,False
0.055701203644275665,37.7027702331543,0.41572755575180054,0.26785714285714285,7.463529109954834,R1,high,P06H,43,0.1563375741243362,0.1171171171171171,1.005301594734192,0.4324915409088135,0.8834311366081238,False,False
0.032074518501758575,7.9191389083862305,0.26230698823928833,0.22321428571428573,8.17805004119873,R1,high,P06H,44,0.2093205749988556,0.1171171171171171,0.9983325600624084,0.4081817865371704,0.8389516472816467,False,False
0.02414429746568203,5.807435512542725,0.31561043858528137,0.29464285714285715,13.071842193603516,R1,high,P07H,42,0.3702477812767029,0.09009009009009,1.0277444124221802,0.435484766960144,0.7564296722412109,False,False
0.042173855006694794,12.120274543762207,0.3599132299423218,0.25892857142857145,8.534036636352539,R1,high,P07H,43,0.2372701168060302,0.2252252252252252,1.0062681436538696,0.4105416536331177,0.8776676654815674,False,False
0.023636730387806892,5.58642053604126,0.38666924834251404,0.05357142857142857,16.358829498291016,R1,high,P07H,44,0.3373394906520843,0.063063063063063,0.985041320323944,0.4895201325416565,0.758611261844635,False,False
