clip_id,stratum,group,n_point_landmark_nearest,trans_swaplike
gridF_v3__hvpair.humanvid_4058810.humanvid_7682587__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4076737.humanvid_7707744__s42,S-GRID-F,NULLGEN,0,1
gridF_v3__hvpair.humanvid_4076737.humanvid_7707744__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4223661.humanvid_7772314__s42,S-GRID-F,NULLGEN,0,1
gridF_v3__hvpair.humanvid_4223661.humanvid_7772314__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s42,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__davis_blackswan_rhino__s42,S-GRID-F,NULLGEN,0,0
gridF_v3__davis_blackswan_rhino__s43,S-GRID-F,NULLGEN,1,0
gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s42,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s42,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s42,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s42,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s43,S-GRID-F,NULLGEN,0,0
gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s42,S-GRID-F,NULLGEN,1,1
gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s43,S-GRID-F,NULLGEN,0,0
start_v2__animalization_3__s42,S-GRID-START,NULLGEN,0,0
start_v2__animalization_3__s43,S-GRID-START,NULLGEN,0,0
start_v2__color_rain_3__s42,S-GRID-START,NULLGEN,1,0
start_v2__color_rain_3__s43,S-GRID-START,NULLGEN,0,0
start_v2__earth_element_1__s42,S-GRID-START,NULLGEN,0,1
start_v2__earth_element_1__s43,S-GRID-START,NULLGEN,0,0
start_v2__gas_transformation_1__s42,S-GRID-START,NULLGEN,0,0
start_v2__gas_transformation_1__s43,S-GRID-START,NULLGEN,0,0
start_v2__illustration_scene_1__s42,S-GRID-START,NULLGEN,0,0
start_v2__illustration_scene_1__s43,S-GRID-START,NULLGEN,0,0
start_v2__money_rain_2__s42,S-GRID-START,NULLGEN,1,1
start_v2__money_rain_2__s43,S-GRID-START,NULLGEN,0,0
start_v2__polygon_1__s42,S-GRID-START,NULLGEN,1,0
start_v2__polygon_1__s43,S-GRID-START,NULLGEN,0,0
start_v2__portal_10__s42,S-GRID-START,NULLGEN,0,0
start_v2__portal_10__s43,S-GRID-START,NULLGEN,0,0
start_v2__shadow_1__s42,S-GRID-START,NULLGEN,0,0
start_v2__shadow_1__s43,S-GRID-START,NULLGEN,0,0
start_v2__super_fast_run_10__s42,S-GRID-START,NULLGEN,0,0
start_v2__super_fast_run_10__s43,S-GRID-START,NULLGEN,0,0
start_v2__wireframe_2__s42,S-GRID-START,NULLGEN,2,1
start_v2__wireframe_2__s43,S-GRID-START,NULLGEN,1,0
start_v2__animalization_0__s42,S-GRID-START,NULLGEN,0,0
start_v2__animalization_0__s43,S-GRID-START,NULLGEN,0,1
start_v2__color_rain_0__s42,S-GRID-START,NULLGEN,1,0
start_v2__color_rain_0__s43,S-GRID-START,NULLGEN,0,0
start_v2__earth_element_4__s42,S-GRID-START,NULLGEN,0,1
start_v2__earth_element_4__s43,S-GRID-START,NULLGEN,0,0
start_v2__gas_transformation_6__s42,S-GRID-START,NULLGEN,0,1
start_v2__gas_transformation_6__s43,S-GRID-START,NULLGEN,1,0
start_v2__illustration_scene_4__s42,S-GRID-START,NULLGEN,0,0
start_v2__illustration_scene_4__s43,S-GRID-START,NULLGEN,0,0
start_v2__money_rain_1__s42,S-GRID-START,NULLGEN,0,0
start_v2__money_rain_1__s43,S-GRID-START,NULLGEN,0,0
start_v2__polygon_4__s42,S-GRID-START,NULLGEN,0,0
start_v2__polygon_4__s43,S-GRID-START,NULLGEN,0,0
start_v2__portal_1__s42,S-GRID-START,NULLGEN,1,0
start_v2__portal_1__s43,S-GRID-START,NULLGEN,0,1
start_v2__shadow_10__s42,S-GRID-START,NULLGEN,0,0
start_v2__shadow_10__s43,S-GRID-START,NULLGEN,0,0
start_v2__super_fast_run_0__s42,S-GRID-START,NULLGEN,0,0
start_v2__super_fast_run_0__s43,S-GRID-START,NULLGEN,0,0
start_v2__wireframe_0__s42,S-GRID-START,NULLGEN,1,0
start_v2__wireframe_0__s43,S-GRID-START,NULLGEN,1,0
start_v2__animalization_2__s42,S-GRID-START,NULLGEN,0,0
start_v2__animalization_2__s43,S-GRID-START,NULLGEN,0,0
start_v2__color_rain_2__s42,S-GRID-START,NULLGEN,0,0
start_v2__color_rain_2__s43,S-GRID-START,NULLGEN,0,0
start_v2__earth_element_6__s42,S-GRID-START,NULLGEN,0,0
start_v2__earth_element_6__s43,S-GRID-START,NULLGEN,0,0
start_v2__gas_transformation_7__s42,S-GRID-START,NULLGEN,0,0
start_v2__gas_transformation_7__s43,S-GRID-START,NULLGEN,0,0
start_v2__illustration_scene_7__s42,S-GRID-START,NULLGEN,0,0
start_v2__illustration_scene_7__s43,S-GRID-START,NULLGEN,0,0
start_v2__money_rain_3__s42,S-GRID-START,NULLGEN,0,0
start_v2__money_rain_3__s43,S-GRID-START,NULLGEN,0,0
start_v2__polygon_8__s42,S-GRID-START,NULLGEN,1,0
start_v2__polygon_8__s43,S-GRID-START,NULLGEN,0,0
start_v2__portal_4__s42,S-GRID-START,NULLGEN,1,1
start_v2__portal_4__s43,S-GRID-START,NULLGEN,0,0
start_v2__shadow_3__s42,S-GRID-START,NULLGEN,1,0
start_v2__shadow_3__s43,S-GRID-START,NULLGEN,0,0
start_v2__super_fast_run_3__s42,S-GRID-START,NULLGEN,0,0
start_v2__super_fast_run_3__s43,S-GRID-START,NULLGEN,0,0
start_v2__wireframe_7__s42,S-GRID-START,NULLGEN,0,0
start_v2__wireframe_7__s43,S-GRID-START,NULLGEN,0,0
start_v2__cotton_cloud_0__s42,S-GRID-START,NULLGEN,0,1
start_v2__cotton_cloud_0__s43,S-GRID-START,NULLGEN,0,0
start_v2__fire_element_2__s42,S-GRID-START,NULLGEN,0,0
start_v2__fire_element_2__s43,S-GRID-START,NULLGEN,0,0
start_v2__live_concert_0__s42,S-GRID-START,NULLGEN,0,0
start_v2__live_concert_0__s43,S-GRID-START,NULLGEN,0,0
start_v2__monstrosity_0__s42,S-GRID-START,NULLGEN,0,0
start_v2__monstrosity_0__s43,S-GRID-START,NULLGEN,0,0
start_v2__mystification_0__s42,S-GRID-START,NULLGEN,0,1
start_v2__mystification_0__s43,S-GRID-START,NULLGEN,0,0
start_v2__saint_glow_3__s42,S-GRID-START,NULLGEN,0,0
start_v2__saint_glow_3__s43,S-GRID-START,NULLGEN,0,0
start_v2__water_element_4__s42,S-GRID-START,NULLGEN,0,0
start_v2__water_element_4__s43,S-GRID-START,NULLGEN,0,0
start_v2__luminous_gaze_3__s42,S-GRID-START,NULLGEN,0,0
start_v2__luminous_gaze_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__animalization_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__animalization_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__color_rain_3__s42,S-GRID-START,NULLGEN,1,0
start_v3__color_rain_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__earth_element_1__s42,S-GRID-START,NULLGEN,0,1
start_v3__earth_element_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__gas_transformation_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__gas_transformation_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__illustration_scene_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__illustration_scene_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__money_rain_2__s42,S-GRID-START,NULLGEN,1,1
start_v3__money_rain_2__s43,S-GRID-START,NULLGEN,0,0
start_v3__polygon_1__s42,S-GRID-START,NULLGEN,1,0
start_v3__polygon_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__portal_10__s42,S-GRID-START,NULLGEN,0,0
start_v3__portal_10__s43,S-GRID-START,NULLGEN,0,0
start_v3__shadow_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__shadow_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__super_fast_run_10__s42,S-GRID-START,NULLGEN,0,0
start_v3__super_fast_run_10__s43,S-GRID-START,NULLGEN,0,0
start_v3__wireframe_2__s42,S-GRID-START,NULLGEN,2,1
start_v3__wireframe_2__s43,S-GRID-START,NULLGEN,1,0
start_v3__animalization_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__animalization_0__s43,S-GRID-START,NULLGEN,0,1
start_v3__color_rain_0__s42,S-GRID-START,NULLGEN,1,0
start_v3__color_rain_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__earth_element_4__s42,S-GRID-START,NULLGEN,0,1
start_v3__earth_element_4__s43,S-GRID-START,NULLGEN,0,0
start_v3__gas_transformation_6__s42,S-GRID-START,NULLGEN,0,1
start_v3__gas_transformation_6__s43,S-GRID-START,NULLGEN,1,0
start_v3__illustration_scene_4__s42,S-GRID-START,NULLGEN,0,0
start_v3__illustration_scene_4__s43,S-GRID-START,NULLGEN,0,0
start_v3__money_rain_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__money_rain_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__polygon_4__s42,S-GRID-START,NULLGEN,0,0
start_v3__polygon_4__s43,S-GRID-START,NULLGEN,0,0
start_v3__portal_1__s42,S-GRID-START,NULLGEN,1,0
start_v3__portal_1__s43,S-GRID-START,NULLGEN,0,1
start_v3__shadow_10__s42,S-GRID-START,NULLGEN,0,0
start_v3__shadow_10__s43,S-GRID-START,NULLGEN,0,0
start_v3__super_fast_run_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__super_fast_run_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__wireframe_0__s42,S-GRID-START,NULLGEN,1,0
start_v3__wireframe_0__s43,S-GRID-START,NULLGEN,1,0
start_v3__acid_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__acid_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__animalization_2__s42,S-GRID-START,NULLGEN,0,0
start_v3__animalization_2__s43,S-GRID-START,NULLGEN,0,0
start_v3__color_rain_2__s42,S-GRID-START,NULLGEN,0,0
start_v3__color_rain_2__s43,S-GRID-START,NULLGEN,0,0
start_v3__cotton_cloud_0__s42,S-GRID-START,NULLGEN,0,1
start_v3__cotton_cloud_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__earth_element_6__s42,S-GRID-START,NULLGEN,0,0
start_v3__earth_element_6__s43,S-GRID-START,NULLGEN,0,0
start_v3__fire_element_2__s42,S-GRID-START,NULLGEN,0,0
start_v3__fire_element_2__s43,S-GRID-START,NULLGEN,0,0
start_v3__gas_transformation_7__s42,S-GRID-START,NULLGEN,0,0
start_v3__gas_transformation_7__s43,S-GRID-START,NULLGEN,0,0
start_v3__illustration_scene_7__s42,S-GRID-START,NULLGEN,0,0
start_v3__illustration_scene_7__s43,S-GRID-START,NULLGEN,0,0
start_v3__live_concert_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__live_concert_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__live_concert_4__s42,S-GRID-START,NULLGEN,0,0
start_v3__live_concert_4__s43,S-GRID-START,NULLGEN,0,0
start_v3__monstrosity_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__monstrosity_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__mystification_0__s42,S-GRID-START,NULLGEN,0,1
start_v3__mystification_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__plasma_explosion_2__s42,S-GRID-START,NULLGEN,0,0
start_v3__plasma_explosion_2__s43,S-GRID-START,NULLGEN,0,0
start_v3__polygon_8__s42,S-GRID-START,NULLGEN,1,0
start_v3__polygon_8__s43,S-GRID-START,NULLGEN,0,0
start_v3__portal_4__s42,S-GRID-START,NULLGEN,1,1
start_v3__portal_4__s43,S-GRID-START,NULLGEN,0,0
start_v3__saint_glow_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__saint_glow_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__shadow_3__s42,S-GRID-START,NULLGEN,1,0
start_v3__shadow_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__super_fast_run_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__super_fast_run_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__water_element_4__s42,S-GRID-START,NULLGEN,0,0
start_v3__water_element_4__s43,S-GRID-START,NULLGEN,0,0
start_v3__wireframe_7__s42,S-GRID-START,NULLGEN,0,0
start_v3__wireframe_7__s43,S-GRID-START,NULLGEN,0,0
start_v3__fire_element_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__fire_element_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__money_rain_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__money_rain_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__mystification_1__s42,S-GRID-START,NULLGEN,0,1
start_v3__mystification_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__plasma_explosion_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__plasma_explosion_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__water_element_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__water_element_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__acid_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__acid_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__explosion_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__explosion_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__explosion_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__explosion_1__s43,S-GRID-START,NULLGEN,0,1
start_v3__glitch_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__glitch_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__glitch_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__glitch_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__luminous_gaze_3__s42,S-GRID-START,NULLGEN,0,0
start_v3__luminous_gaze_3__s43,S-GRID-START,NULLGEN,0,0
start_v3__northern_lights_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__northern_lights_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__northern_lights_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__northern_lights_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__point_cloud_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__point_cloud_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__point_cloud_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__point_cloud_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__train_rush_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__train_rush_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__train_rush_1__s42,S-GRID-START,NULLGEN,0,1
start_v3__train_rush_1__s43,S-GRID-START,NULLGEN,0,0
start_v3__x_ray_0__s42,S-GRID-START,NULLGEN,0,0
start_v3__x_ray_0__s43,S-GRID-START,NULLGEN,0,0
start_v3__x_ray_1__s42,S-GRID-START,NULLGEN,0,0
start_v3__x_ray_1__s43,S-GRID-START,NULLGEN,0,0
probe_r2__P01H__s42,S-PROBE,R2,0,0
probe_r3__P01H__s42,S-PROBE,R3,0,0
probe_r2__P01H__s43,S-PROBE,R2,0,0
probe_r3__P01H__s43,S-PROBE,R3,0,0
probe_r2__P01H__s44,S-PROBE,R2,0,0
probe_r3__P01H__s44,S-PROBE,R3,0,0
probe_r2__P02H__s42,S-PROBE,R2,0,0
probe_r3__P02H__s42,S-PROBE,R3,0,0
probe_r2__P02H__s43,S-PROBE,R2,0,0
probe_r3__P02H__s43,S-PROBE,R3,0,0
probe_r2__P02H__s44,S-PROBE,R2,0,0
probe_r3__P02H__s44,S-PROBE,R3,0,0
probe_r2__P03H__s42,S-PROBE,R2,0,0
probe_r3__P03H__s42,S-PROBE,R3,0,0
probe_r2__P03H__s43,S-PROBE,R2,0,0
probe_r3__P03H__s43,S-PROBE,R3,0,0
probe_r2__P03H__s44,S-PROBE,R2,0,0
probe_r3__P03H__s44,S-PROBE,R3,0,0
probe_r2__P04H__s42,S-PROBE,R2,0,0
probe_r3__P04H__s42,S-PROBE,R3,0,0
probe_r2__P04H__s43,S-PROBE,R2,0,0
probe_r3__P04H__s43,S-PROBE,R3,0,0
probe_r2__P04H__s44,S-PROBE,R2,0,0
probe_r3__P04H__s44,S-PROBE,R3,0,0
probe_r2__P05H__s42,S-PROBE,R2,0,0
probe_r3__P05H__s42,S-PROBE,R3,0,0
probe_r2__P05H__s43,S-PROBE,R2,0,0
probe_r3__P05H__s43,S-PROBE,R3,0,0
probe_r2__P05H__s44,S-PROBE,R2,0,0
probe_r3__P05H__s44,S-PROBE,R3,0,0
probe_r2__P06H__s42,S-PROBE,R2,0,0
probe_r3__P06H__s42,S-PROBE,R3,0,1
probe_r2__P06H__s43,S-PROBE,R2,0,0
probe_r3__P06H__s43,S-PROBE,R3,0,1
probe_r2__P06H__s44,S-PROBE,R2,0,0
probe_r3__P06H__s44,S-PROBE,R3,0,0
probe_r2__P07H__s42,S-PROBE,R2,0,0
probe_r3__P07H__s42,S-PROBE,R3,0,0
probe_r2__P07H__s43,S-PROBE,R2,0,0
probe_r3__P07H__s43,S-PROBE,R3,0,0
probe_r2__P07H__s44,S-PROBE,R2,0,0
probe_r3__P07H__s44,S-PROBE,R3,0,1
probe_r2__P08H__s42,S-PROBE,R2,0,0
probe_r3__P08H__s42,S-PROBE,R3,0,0
probe_r2__P08H__s43,S-PROBE,R2,0,0
probe_r3__P08H__s43,S-PROBE,R3,0,0
probe_r2__P08H__s44,S-PROBE,R2,0,0
probe_r3__P08H__s44,S-PROBE,R3,0,0
probe_r2__P09H__s42,S-PROBE,R2,0,0
probe_r3__P09H__s42,S-PROBE,R3,0,0
probe_r2__P09H__s43,S-PROBE,R2,0,0
probe_r3__P09H__s43,S-PROBE,R3,0,0
probe_r2__P09H__s44,S-PROBE,R2,0,0
probe_r3__P09H__s44,S-PROBE,R3,0,0
probe_r2__P10H__s42,S-PROBE,R2,0,0
probe_r3__P10H__s42,S-PROBE,R3,1,0
probe_r2__P10H__s43,S-PROBE,R2,0,0
probe_r3__P10H__s43,S-PROBE,R3,0,0
probe_r2__P10H__s44,S-PROBE,R2,0,0
probe_r3__P10H__s44,S-PROBE,R3,0,0
probe_r2__P11H__s42,S-PROBE,R2,0,0
probe_r3__P11H__s42,S-PROBE,R3,0,1
probe_r2__P11H__s43,S-PROBE,R2,0,0
probe_r3__P11H__s43,S-PROBE,R3,0,0
probe_r2__P11H__s44,S-PROBE,R2,0,0
probe_r3__P11H__s44,S-PROBE,R3,0,0
probe_r2__P12H__s42,S-PROBE,R2,0,0
probe_r3__P12H__s42,S-PROBE,R3,0,0
probe_r2__P12H__s43,S-PROBE,R2,0,0
probe_r3__P12H__s43,S-PROBE,R3,0,0
probe_r2__P12H__s44,S-PROBE,R2,0,0
probe_r3__P12H__s44,S-PROBE,R3,0,0
probe_r2__P13H__s42,S-PROBE,R2,0,0
probe_r3__P13H__s42,S-PROBE,R3,0,0
probe_r2__P13H__s43,S-PROBE,R2,0,0
probe_r3__P13H__s43,S-PROBE,R3,0,0
probe_r2__P13H__s44,S-PROBE,R2,0,0
probe_r3__P13H__s44,S-PROBE,R3,0,0
probe_r2__P14H__s42,S-PROBE,R2,0,0
probe_r3__P14H__s42,S-PROBE,R3,0,1
probe_r2__P14H__s43,S-PROBE,R2,0,0
probe_r3__P14H__s43,S-PROBE,R3,0,0
probe_r2__P14H__s44,S-PROBE,R2,0,0
probe_r3__P14H__s44,S-PROBE,R3,0,0
probe_r2__P15H__s42,S-PROBE,R2,0,0
probe_r3__P15H__s42,S-PROBE,R3,0,0
probe_r2__P15H__s43,S-PROBE,R2,0,0
probe_r3__P15H__s43,S-PROBE,R3,0,0
probe_r2__P15H__s44,S-PROBE,R2,0,0
probe_r3__P15H__s44,S-PROBE,R3,0,1
probe_r2__P16H__s42,S-PROBE,R2,0,0
probe_r3__P16H__s42,S-PROBE,R3,0,0
probe_r2__P16H__s43,S-PROBE,R2,0,0
probe_r3__P16H__s43,S-PROBE,R3,0,0
probe_r2__P16H__s44,S-PROBE,R2,0,0
probe_r3__P16H__s44,S-PROBE,R3,0,0
probe_r2__P17H__s42,S-PROBE,R2,0,0
probe_r3__P17H__s42,S-PROBE,R3,0,0
probe_r2__P17H__s43,S-PROBE,R2,0,0
probe_r3__P17H__s43,S-PROBE,R3,0,1
probe_r2__P17H__s44,S-PROBE,R2,0,0
probe_r3__P17H__s44,S-PROBE,R3,0,0
probe_r2__P18H__s42,S-PROBE,R2,0,0
probe_r3__P18H__s42,S-PROBE,R3,0,0
probe_r2__P18H__s43,S-PROBE,R2,0,0
probe_r3__P18H__s43,S-PROBE,R3,0,0
