clip_id,stratum,group,n_point_landmark_nearest,trans_swaplike
probe_r2__P18H__s44,S-PROBE,R2,0,0
probe_r3__P18H__s44,S-PROBE,R3,0,0
probe_r2__P19H__s42,S-PROBE,R2,0,0
probe_r3__P19H__s42,S-PROBE,R3,0,0
probe_r2__P19H__s43,S-PROBE,R2,0,0
probe_r3__P19H__s43,S-PROBE,R3,0,0
probe_r2__P19H__s44,S-PROBE,R2,0,0
probe_r3__P19H__s44,S-PROBE,R3,0,0
probe_r2__P20H__s42,S-PROBE,R2,0,0
probe_r3__P20H__s42,S-PROBE,R3,0,0
probe_r2__P20H__s43,S-PROBE,R2,0,0
probe_r3__P20H__s43,S-PROBE,R3,0,0
probe_r2__P20H__s44,S-PROBE,R2,0,0
probe_r3__P20H__s44,S-PROBE,R3,0,0
probe_r2__P21H__s42,S-PROBE,R2,0,0
probe_r3__P21H__s42,S-PROBE,R3,0,1
probe_r2__P21H__s43,S-PROBE,R2,0,0
probe_r3__P21H__s43,S-PROBE,R3,0,0
probe_r2__P21H__s44,S-PROBE,R2,0,0
probe_r3__P21H__s44,S-PROBE,R3,0,1
probe_r2__P22H__s42,S-PROBE,R2,0,0
probe_r3__P22H__s42,S-PROBE,R3,0,0
probe_r2__P22H__s43,S-PROBE,R2,0,0
probe_r3__P22H__s43,S-PROBE,R3,0,0
probe_r2__P22H__s44,S-PROBE,R2,0,0
probe_r3__P22H__s44,S-PROBE,R3,0,1
probe_r2__P23H__s42,S-PROBE,R2,0,0
probe_r3__P23H__s42,S-PROBE,R3,0,0
probe_r2__P23H__s43,S-PROBE,R2,0,0
probe_r3__P23H__s43,S-PROBE,R3,1,0
probe_r2__P23H__s44,S-PROBE,R2,0,0
probe_r3__P23H__s44,S-PROBE,R3,1,0
probe_r2__P24H__s42,S-PROBE,R2,0,0
probe_r3__P24H__s42,S-PROBE,R3,0,1
probe_r2__P24H__s43,S-PROBE,R2,0,0
probe_r3__P24H__s43,S-PROBE,R3,0,0
probe_r2__P24H__s44,S-PROBE,R2,0,0
probe_r3__P24H__s44,S-PROBE,R3,0,0
probe_r2__P25H__s42,S-PROBE,R2,0,0
probe_r3__P25H__s42,S-PROBE,R3,0,1
probe_r2__P25H__s43,S-PROBE,R2,0,0
probe_r3__P25H__s43,S-PROBE,R3,0,0
probe_r2__P25H__s44,S-PROBE,R2,0,0
probe_r3__P25H__s44,S-PROBE,R3,0,0
probe_r2__P26H__s42,S-PROBE,R2,0,0
probe_r3__P26H__s42,S-PROBE,R3,1,0
probe_r2__P26H__s43,S-PROBE,R2,0,0
probe_r3__P26H__s43,S-PROBE,R3,0,0
probe_r2__P26H__s44,S-PROBE,R2,0,0
probe_r3__P26H__s44,S-PROBE,R3,0,1
probe_r2__P27H__s42,S-PROBE,R2,0,0
probe_r3__P27H__s42,S-PROBE,R3,0,0
probe_r2__P27H__s43,S-PROBE,R2,0,0
probe_r3__P27H__s43,S-PROBE,R3,0,0
probe_r2__P27H__s44,S-PROBE,R2,0,0
probe_r3__P27H__s44,S-PROBE,R3,0,0
probe_r2__P28H__s42,S-PROBE,R2,0,0
probe_r3__P28H__s42,S-PROBE,R3,0,0
probe_r2__P28H__s43,S-PROBE,R2,0,0
probe_r3__P28H__s43,S-PROBE,R3,0,1
probe_r2__P28H__s44,S-PROBE,R2,0,0
probe_r3__P28H__s44,S-PROBE,R3,0,0
probe_r2__P29H__s42,S-PROBE,R2,0,0
probe_r3__P29H__s42,S-PROBE,R3,0,1
probe_r2__P29H__s43,S-PROBE,R2,0,0
probe_r3__P29H__s43,S-PROBE,R3,0,0
probe_r2__P29H__s44,S-PROBE,R2,0,0
probe_r3__P29H__s44,S-PROBE,R3,0,0
probe_r2__P30H__s42,S-PROBE,R2,1,0
probe_r3__P30H__s42,S-PROBE,R3,0,1
probe_r2__P30H__s43,S-PROBE,R2,0,0
probe_r3__P30H__s43,S-PROBE,R3,0,0
probe_r2__P30H__s44,S-PROBE,R2,0,0
probe_r3__P30H__s44,S-PROBE,R3,0,0
probe_r2__P01L__s42,S-PROBE,R2,0,0
probe_r3__P01L__s42,S-PROBE,R3,1,0
probe_r2__P01L__s43,S-PROBE,R2,0,0
probe_r3__P01L__s43,S-PROBE,R3,0,0
probe_r2__P01L__s44,S-PROBE,R2,0,0
probe_r3__P01L__s44,S-PROBE,R3,0,0
probe_r2__P06L__s42,S-PROBE,R2,0,0
probe_r3__P06L__s42,S-PROBE,R3,0,0
probe_r2__P06L__s43,S-PROBE,R2,0,0
probe_r3__P06L__s43,S-PROBE,R3,0,0
probe_r2__P06L__s44,S-PROBE,R2,0,0
probe_r3__P06L__s44,S-PROBE,R3,0,0
probe_r2__P09L__s42,S-PROBE,R2,0,0
probe_r3__P09L__s42,S-PROBE,R3,0,0
probe_r2__P09L__s43,S-PROBE,R2,0,0
probe_r3__P09L__s43,S-PROBE,R3,0,0
probe_r2__P09L__s44,S-PROBE,R2,0,0
probe_r3__P09L__s44,S-PROBE,R3,0,0
probe_r2__P10L__s42,S-PROBE,R2,0,0
probe_r3__P10L__s42,S-PROBE,R3,0,0
probe_r2__P10L__s43,S-PROBE,R2,0,0
probe_r3__P10L__s43,S-PROBE,R3,0,0
probe_r2__P10L__s44,S-PROBE,R2,0,0
probe_r3__P10L__s44,S-PROBE,R3,0,0
probe_r2__P11L__s42,S-PROBE,R2,0,0
probe_r3__P11L__s42,S-PROBE,R3,0,0
probe_r2__P11L__s43,S-PROBE,R2,0,0
probe_r3__P11L__s43,S-PROBE,R3,0,0
probe_r2__P11L__s44,S-PROBE,R2,0,0
probe_r3__P11L__s44,S-PROBE,R3,0,0
probe_r2__P14L__s42,S-PROBE,R2,0,0
probe_r3__P14L__s42,S-PROBE,R3,0,0
probe_r2__P14L__s43,S-PROBE,R2,0,0
probe_r3__P14L__s43,S-PROBE,R3,0,1
probe_r2__P14L__s44,S-PROBE,R2,0,0
probe_r3__P14L__s44,S-PROBE,R3,0,0
probe_r2__P17L__s42,S-PROBE,R2,0,0
probe_r3__P17L__s42,S-PROBE,R3,0,0
probe_r2__P17L__s43,S-PROBE,R2,0,1
probe_r3__P17L__s43,S-PROBE,R3,0,1
probe_r2__P17L__s44,S-PROBE,R2,0,0
probe_r3__P17L__s44,S-PROBE,R3,0,1
probe_r2__P19L__s42,S-PROBE,R2,0,0
probe_r3__P19L__s42,S-PROBE,R3,0,0
probe_r2__P19L__s43,S-PROBE,R2,0,0
probe_r3__P19L__s43,S-PROBE,R3,0,0
probe_r2__P19L__s44,S-PROBE,R2,0,0
probe_r3__P19L__s44,S-PROBE,R3,0,0
probe_r2__P23L__s42,S-PROBE,R2,0,0
probe_r3__P23L__s42,S-PROBE,R3,0,1
probe_r2__P23L__s43,S-PROBE,R2,0,0
probe_r3__P23L__s43,S-PROBE,R3,0,0
probe_r2__P23L__s44,S-PROBE,R2,0,0
probe_r3__P23L__s44,S-PROBE,R3,0,0
probe_r2__P28L__s42,S-PROBE,R2,0,0
probe_r3__P28L__s42,S-PROBE,R3,0,0
probe_r2__P28L__s43,S-PROBE,R2,0,0
probe_r3__P28L__s43,S-PROBE,R3,0,0
probe_r2__P28L__s44,S-PROBE,R2,0,0
probe_r3__P28L__s44,S-PROBE,R3,0,0
sweep__class1__blackswan__mallard-water__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class1__blackswan__mallard-water__A_word__s42,S-SWEEP,A_word,0,0
sweep__class1__blackswan__mallard-water__B__s42,S-SWEEP,B,0,0
sweep__class1__blackswan__mallard-water__C__s42,S-SWEEP,C,0,0
sweep__class1__blackswan__mallard-water__D__s42,S-SWEEP,D,0,0
sweep__class1__blackswan__mallard-water__E__s42,S-SWEEP,E,0,0
sweep__class2__mallard-fly__mallard-water__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class2__mallard-fly__mallard-water__A_word__s42,S-SWEEP,A_word,0,0
sweep__class2__mallard-fly__mallard-water__B__s42,S-SWEEP,B,0,0
sweep__class2__mallard-fly__mallard-water__C__s42,S-SWEEP,C,0,0
sweep__class2__mallard-fly__mallard-water__D__s42,S-SWEEP,D,0,0
sweep__class2__mallard-fly__mallard-water__E__s42,S-SWEEP,E,0,0
sweep__class2__motocross-bumps__motocross-jump__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class2__motocross-bumps__motocross-jump__A_word__s42,S-SWEEP,A_word,0,0
sweep__class2__motocross-bumps__motocross-jump__B__s42,S-SWEEP,B,0,0
sweep__class2__motocross-bumps__motocross-jump__C__s42,S-SWEEP,C,0,0
sweep__class2__motocross-bumps__motocross-jump__D__s42,S-SWEEP,D,0,0
sweep__class2__motocross-bumps__motocross-jump__E__s42,S-SWEEP,E,0,0
sweep__class2__paragliding-launch__paragliding__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class2__paragliding-launch__paragliding__A_word__s42,S-SWEEP,A_word,0,0
sweep__class2__paragliding-launch__paragliding__B__s42,S-SWEEP,B,0,0
sweep__class2__paragliding-launch__paragliding__C__s42,S-SWEEP,C,0,0
sweep__class2__paragliding-launch__paragliding__D__s42,S-SWEEP,D,0,0
sweep__class2__paragliding-launch__paragliding__E__s42,S-SWEEP,E,0,0
sweep__class5__breakdance-flare__breakdance__A_empty__s42,S-SWEEP,A_empty,0,1
sweep__class5__breakdance-flare__breakdance__A_word__s42,S-SWEEP,A_word,0,1
sweep__class5__breakdance-flare__breakdance__B__s42,S-SWEEP,B,0,0
sweep__class5__breakdance-flare__breakdance__C__s42,S-SWEEP,C,0,0
sweep__class5__breakdance-flare__breakdance__D__s42,S-SWEEP,D,0,0
sweep__class5__breakdance-flare__breakdance__E__s42,S-SWEEP,E,0,0
sweep__class5__car-roundabout__bus__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class5__car-roundabout__bus__A_word__s42,S-SWEEP,A_word,0,0
sweep__class5__car-roundabout__bus__B__s42,S-SWEEP,B,0,0
sweep__class5__car-roundabout__bus__C__s42,S-SWEEP,C,0,0
sweep__class5__car-roundabout__bus__D__s42,S-SWEEP,D,0,0
sweep__class5__car-roundabout__bus__E__s42,S-SWEEP,E,0,0
sweep__class5__car-turn__car-shadow__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class5__car-turn__car-shadow__A_word__s42,S-SWEEP,A_word,0,0
sweep__class5__car-turn__car-shadow__B__s42,S-SWEEP,B,0,0
sweep__class5__car-turn__car-shadow__C__s42,S-SWEEP,C,0,0
sweep__class5__car-turn__car-shadow__D__s42,S-SWEEP,D,0,0
sweep__class5__car-turn__car-shadow__E__s42,S-SWEEP,E,0,0
sweep__class5__lucia__hike__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class5__lucia__hike__A_word__s42,S-SWEEP,A_word,0,0
sweep__class5__lucia__hike__B__s42,S-SWEEP,B,0,0
sweep__class5__lucia__hike__C__s42,S-SWEEP,C,0,0
sweep__class5__lucia__hike__D__s42,S-SWEEP,D,0,0
sweep__class5__lucia__hike__E__s42,S-SWEEP,E,0,0
sweep__class6__longboard__kite-surf__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class6__longboard__kite-surf__A_word__s42,S-SWEEP,A_word,0,0
sweep__class6__longboard__kite-surf__B__s42,S-SWEEP,B,0,0
sweep__class6__longboard__kite-surf__C__s42,S-SWEEP,C,0,0
sweep__class6__longboard__kite-surf__D__s42,S-SWEEP,D,0,0
sweep__class6__longboard__kite-surf__E__s42,S-SWEEP,E,0,0
sweep__class8__blackswan__boat__A_empty__s42,S-SWEEP,A_empty,0,0
sweep__class8__blackswan__boat__A_word__s42,S-SWEEP,A_word,0,0
sweep__class8__blackswan__boat__B__s42,S-SWEEP,B,0,0
sweep__class8__blackswan__boat__C__s42,S-SWEEP,C,0,0
sweep__class8__blackswan__boat__D__s42,S-SWEEP,D,0,0
sweep__class8__blackswan__boat__E__s42,S-SWEEP,E,0,0
