measure,space,stratum,group,n,frac,lo,hi,fam_LERP,fam_CUT50,fam_FREEZE,fam_LATLERP,fam_REF,ref_own
occupancy_entropy,DINO,S-SWEEP,B,10,0.5303560860446522,0.1814322619606436,0.6077266474915606,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,C,10,0.5264927622988719,0.27927991012866066,0.6077266474915606,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,D,10,0.27927991012866066,-0.0,0.3868528072345416,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,E,10,0.340929858357647,-0.0,0.3868528072345416,,,,,,0.5414792703119486
landmark_nearest,VAE,S-GRID,NULLGEN,68,0.029411764705882353,0.0,0.09090909090909091,0.0,2.0,0.0,0.0,66.0,
landmark_nearest,VAE,S-GRID-F,NULLGEN,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,
landmark_nearest,VAE,S-GRID-START,NULLGEN,204,0.0196078431372549,0.0,0.06,4.0,0.0,0.0,0.0,200.0,
landmark_nearest,VAE,S-PROBE,R2,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,
landmark_nearest,VAE,S-PROBE,R3,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,
landmark_nearest,VAE,S-SWEEP,A_empty,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,VAE,S-SWEEP,A_word,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,VAE,S-SWEEP,B,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,VAE,S-SWEEP,C,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,VAE,S-SWEEP,D,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,VAE,S-SWEEP,E,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest_LOObaseline,VAE,REF,GT,19,0.0,0.0,0.0,,,,,,
landmark_nearest_LOObaseline,VAE,REF,R1,120,0.0,0.0,0.0,,,,,,
occupancy_entropy,VAE,S-GRID,NULLGEN,68,0.38997075227521494,0.19466226917226503,0.5156053150531923,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-GRID-F,NULLGEN,38,0.24342682869886348,0.06791782310517983,0.35532775216119916,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-GRID-START,NULLGEN,204,0.22321571402090026,0.14466413596981975,0.2940729324893081,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-PROBE,R2,120,0.23591843384430777,0.1486719996979768,0.30863152537523175,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-PROBE,R3,120,0.32365681966673027,0.2658897731163138,0.3642067180275185,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-SWEEP,A_empty,10,-0.0,-0.0,0.0,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-SWEEP,A_word,10,-0.0,-0.0,0.0,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-SWEEP,B,10,-0.0,-0.0,0.0,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-SWEEP,C,10,-0.0,-0.0,0.0,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-SWEEP,D,10,-0.0,-0.0,0.0,,,,,,0.2299156221958694
occupancy_entropy,VAE,S-SWEEP,E,10,-0.0,-0.0,0.0,,,,,,0.2299156221958694
