step_share,step_over_gap,step_pos,n_steps_big,md5,variant,endpoint,seed,two_sided,foreign,cls,DR_med,M,prompt,grid,sided,abrupt,cut,online,cond,endpoint_source,endpoint_class,dino_dist,clip_dist,pixel_gap_rel,clean,terc
0.060346458107233,1.0917413234710691,0.6571428571428571,5,3a7fd20ca6705636f62f918f428a2ec0,01_effect__dai,shadow_smoke_7,42,True,False,REAL,0.6065733432769775,0.4423076923076923,effect,v2,,True,False,False,both,heldin_test,shadow_smoke,0.8337105512619019,0.2497801780700683,0.913241684436798,True,far
0.088442713022232,1.0084649324417114,0.2857142857142857,3,4bde96b943422b6180d61ea2707a1273,01_effect__dai,shadow_smoke_7,43,True,False,REAL,0.3279244899749756,0.4230769230769231,effect,v2,,True,False,False,both,heldin_test,shadow_smoke,0.8337105512619019,0.2497801780700683,0.913241684436798,True,far
0.0249795243144035,0.2496148198843002,0.7523809523809524,20,3e57e848b698884f7acfc5dd1eb87f28,01_effect__dai,hero_flight_6,42,True,False,REAL,0.7147643566131592,0.4230769230769231,effect,v2,,False,False,False,both,heldin_test,hero_flight,0.6431841850280762,0.3309119343757629,0.7196507453918457,True,mid
0.0181292798370122,0.3937157690525055,0.6476190476190476,63,8284827dea2f60bdfe199e12c1884a12,01_effect__dai,hero_flight_6,43,True,False,REAL,0.6493849754333496,0.5576923076923077,effect,v2,,False,False,False,both,heldin_test,hero_flight,0.6431841850280762,0.3309119343757629,0.7196507453918457,True,mid
0.0299279540777206,0.2046640813350677,0.3428571428571428,19,d2d2a7c987cc2d5a576f4b880ec30dbb,01_effect__dai,shadow_smoke_2,42,True,False,REAL,0.2736248970031738,0.173076923076923,effect,v2,,False,False,False,both,heldin_train,shadow_smoke,0.976357102394104,0.4813467264175415,0.8247685432434082,True,mid
0.0267124697566032,0.208380788564682,0.1619047619047619,32,132cf963c09991fd58bff24619166da3,01_effect__dai,shadow_smoke_2,43,True,False,REAL,0.2252936214208603,0.2307692307692307,effect,v2,,False,False,False,both,heldin_train,shadow_smoke,0.976357102394104,0.4813467264175415,0.8247685432434082,True,mid
0.0526962280273437,2.027721881866455,0.2952380952380952,9,cf66463329d6d3b4d583f49204fee58f,01_effect__dai,display_transition_1,42,True,False,REAL,0.3753874003887176,0.2403846153846154,effect,v2,,False,False,False,both,heldout,display_transition,1.007775902748108,0.3791371583938598,0.7980310320854187,True,mid
0.1077404469251632,3.1151716709136963,0.7142857142857143,2,a4a9982d4924c50ace124f54fe90ad2d,01_effect__dai,display_transition_1,43,True,False,REAL,0.5976691246032715,0.0384615384615384,effect,v2,,True,False,False,both,heldout,display_transition,1.007775902748108,0.3791371583938598,0.7980310320854187,True,mid
0.0851723775267601,0.5609647035598755,0.3714285714285714,1,06338c6484fda64e6a456ad708ef4318,01_effect__dai,raven_transition_2,42,True,False,REAL,0.3714874684810638,0.2980769230769231,effect,v2,,True,False,False,both,heldout,raven_transition,0.8378135561943054,0.3154877424240112,1.0046961307525637,True,far
0.0237896740436553,0.2508175075054168,0.0380952380952381,37,4f0ed63b33b3b6e7048f982351242a50,01_effect__dai,raven_transition_2,43,True,False,REAL,0.5404574871063232,0.4807692307692308,effect,v2,,False,False,False,both,heldout,raven_transition,0.8378135561943054,0.3154877424240112,1.0046961307525637,True,far
