step_share,step_over_gap,step_pos,n_steps_big,md5,variant,endpoint,seed,two_sided,foreign,cls,DR_med,M,prompt,grid,sided
0.04137158766388893,0.2872925400733948,0.5138888888888888,36,105581a4556c01d39302dea0b2ae7422,07_effect_v3ed81__dai,ed.Arm_circuit_electronic_cloud.0ecbeef919f89a12.M,42,False,False,CUT,0.0054427064023911,0.0379746835443038,effect,v3ed81,one
0.06291376054286957,0.48821374773979187,0.4166666666666667,5,2c1b06aec2320e2f21e7824503485465,07_effect_v3ed81__dai,ed.Arm_circuit_electronic_cloud.0ecbeef919f89a12.M,43,False,False,REAL,0.1960339993238449,0.0379746835443038,effect,v3ed81,one
0.03468674048781395,0.24146504700183868,0.6944444444444444,32,0f36018cf5f37cd3bd656a22079a5a5d,07_effect_v3ed81__dai,ed.Arm_circuit_electronic_cloud.0ecbeef919f89a12.M,42,False,False,REAL,0.1830880045890808,0.1139240506329113,effect,v3ed81,one
0.0334467850625515,0.4898025393486023,0.5,33,285b0723a438de9c3cd4fbea0e4feea2,07_effect_v3ed81__dai,ed.Arm_circuit_electronic_cloud.0ecbeef919f89a12.M,43,False,False,REAL,0.3740996420383453,0.1012658227848101,effect,v3ed81,one
0.13254675269126892,0.4769294857978821,0.6944444444444444,4,2e3fb440d67b1da2a364ba9047805761,07_effect_v3ed81__dai,ed.Array_encircling_feet.0c27bd005ad52648.M,42,False,False,CUT,0.0110677042976021,0.0379746835443038,effect,v3ed81,one
0.027604959905147552,0.14629879593849182,0.3472222222222222,41,c37720c0921b6b37f6a4db2f388b2cec,07_effect_v3ed81__dai,ed.Array_encircling_feet.0c27bd005ad52648.M,43,False,False,REAL,0.1592171788215637,0.1645569620253164,effect,v3ed81,one
0.0893210619688034,0.15425409376621246,0.5555555555555556,5,121a751297d895ca52e4dac9a519cfe4,07_effect_v3ed81__dai,ed.Array_encircling_feet.0c27bd005ad52648.M,42,False,False,CUT,0.0124833220615983,0.0886075949367088,effect,v3ed81,one
0.04076075926423073,0.18959307670593262,0.3611111111111111,23,97852ed23858017e2ba0fde71b3d2f4f,07_effect_v3ed81__dai,ed.Array_encircling_feet.0c27bd005ad52648.M,43,False,False,REAL,0.26108118891716,0.2531645569620253,effect,v3ed81,one
0.05393945053219795,0.22978956997394562,0.3194444444444444,7,734461622cd1a9dc931ac58af66d5cc3,07_effect_v3ed81__dai,ed.Arm_shadow_chains.0e513cd16d065c6a.M,42,False,False,REAL,0.3138959109783172,0.2278481012658227,effect,v3ed81,one
0.0488596186041832,0.2720089256763458,0.3055555555555556,11,3e3ea6f92719c6be1358a56338cb0248,07_effect_v3ed81__dai,ed.Arm_shadow_chains.0e513cd16d065c6a.M,43,False,False,REAL,0.3472229838371277,0.2278481012658227,effect,v3ed81,one
