group,endpoint,seed,abrupt,cls,gap,transit_frames,jump3,jump1,fracA,fracB,fracElse
both/effect,shadow_smoke_7,42,True,REAL,93.89218139648438,16,0.39124441146850586,0.33713221549987793,0.125,0.25961538461538464,0.6153846153846154
both/effect,shadow_smoke_7,43,True,REAL,94.03697204589844,7,0.370397686958313,0.36263197660446167,0.10576923076923077,0.34615384615384615,0.5480769230769231
both/effect,hero_flight_6,42,False,REAL,79.62417602539062,24,0.26096293330192566,0.10610844194889069,0.009615384615384616,0.0,0.9903846153846154
both/effect,hero_flight_6,43,False,REAL,79.71803283691406,12,0.36622557044029236,0.1359274685382843,0.028846153846153848,0.019230769230769232,0.9519230769230769
both/effect,shadow_smoke_2,42,False,REAL,111.13712310791016,17,0.16952627897262573,0.062387287616729736,0.09615384615384616,0.2980769230769231,0.6057692307692308
both/effect,shadow_smoke_2,43,False,REAL,111.32825469970703,13,0.23536416888237,0.08490481972694397,0.038461538461538464,0.3942307692307692,0.5673076923076923
both/effect,display_transition_1,42,False,REAL,44.658531188964844,14,2.766887664794922,1.505381464958191,0.1346153846153846,0.07692307692307693,0.7884615384615385
both/effect,display_transition_1,43,True,REAL,44.4618034362793,17,2.2037506103515625,2.1614317893981934,0.125,0.15384615384615385,0.7211538461538461
both/effect,raven_transition_2,42,True,REAL,108.04933166503906,39,0.3087587356567383,0.27690643072128296,0.0,0.33653846153846156,0.6634615384615384
both/effect,raven_transition_2,43,False,REAL,108.50548553466797,16,0.36906784772872925,0.18151281774044037,0.0,0.19230769230769232,0.8076923076923077
both/effect,melt_transition_2,42,False,CUT,70.8156509399414,12,0.2023198902606964,0.07057788968086243,0.25961538461538464,0.28846153846153844,0.451923076923077
both/effect,melt_transition_2,43,False,REAL,71.05887603759766,8,0.42107003927230835,0.16893599927425385,0.125,0.11538461538461539,0.7596153846153846
both/effect,shadow_smoke_0,42,False,REAL,74.45770263671875,13,0.2312687635421753,0.10135679692029953,0.0673076923076923,0.125,0.8076923076923077
both/effect,shadow_smoke_0,43,False,REAL,74.40557861328125,5,0.5167275667190552,0.19058014452457428,0.07692307692307693,0.08653846153846154,0.8365384615384616
both/effect,hero_flight_5,42,False,REAL,80.48435974121094,46,0.16125595569610596,0.07749027013778687,0.08653846153846154,0.34615384615384615,0.5673076923076923
