group,clip_id,vae_swapfam,vae_lerp,vae_offchord,pix_swapfam,pix_lerp,dino_swapfam,dino_lerp
S-GRID:NULLGEN,null_v2__hero_flight_1__s42,0.16746142596980307,0.22675344597247402,0.5632401,0.03148069010777318,0.3133978890499535,0.07171247794623074,0.29104527197263247
S-GRID:NULLGEN,null_v2__hero_flight_1__s43,0.17654075486286075,0.18598041318575279,0.597841,0.06169342954872029,0.2583190972937574,0.08202457909381594,0.24273061178559618
S-GRID:NULLGEN,null_v2__shadow_smoke_2__s42,0.08999412581928733,0.21661171129108672,0.40982497,0.01921257270473922,0.2673155536169264,0.016936190350801208,0.27060584702662516
S-GRID:NULLGEN,null_v2__shadow_smoke_2__s43,0.0952162151039292,0.3226325715117485,0.40350014,0.03604553421036882,0.39208022306888823,0.03137126277164601,0.3933270575029294
S-GRID:NULLGEN,null_v2__hero_flight_5__s42,0.24523897546254955,0.2974572957091169,0.6670173,0.08419446140014256,0.47670771168020143,0.08702518078973183,0.49074856344647527
S-GRID:NULLGEN,null_v2__hero_flight_5__s43,0.24346639568518638,0.2647512740030733,0.7004778,0.04330793599862234,0.40797737971792886,0.0587762923235003,0.4294570410905654
S-GRID:NULLGEN,null_v2__shadow_smoke_0__s42,0.30041505156806864,0.16017552227158652,0.6986093,0.14767270967083104,0.3331784096040967,0.061335923983073526,0.4001593872962047
S-GRID:NULLGEN,null_v2__shadow_smoke_0__s43,0.3342119061102306,0.1381250061131549,0.7434315,0.16160008297693104,0.25580174584049337,0.09322846799132511,0.28645385982587523
S-GRID:NULLGEN,null_v2__hero_flight_6__s42,0.23265801878077297,0.18406668352119582,0.652058,0.10923851509780017,0.3012449606534261,0.09839343784412588,0.3798867875315088
S-GRID:NULLGEN,null_v2__hero_flight_6__s43,0.24887417970593445,0.2963663116763504,0.69976896,0.1371884342207523,0.38069717423156835,0.13056678970715296,0.37995332885225713
S-GRID:NULLGEN,null_v2__shadow_smoke_7__s42,0.16342311147736913,0.3060675887347308,0.56388146,0.051536807150693704,0.4215419160347347,0.05336674316594343,0.44286526499889517
S-GRID:NULLGEN,null_v2__shadow_smoke_7__s43,0.16565072218681826,0.27331418166649124,0.5291778,0.16122556107124464,0.33842110987479856,0.11645394880627122,0.3544547421967294
S-GRID:NULLGEN,null_v2__display_transition_1__s42,0.1258604557658286,0.1878512847648975,0.4332825,0.09059038981768773,0.24334461716245495,0.07573801980723123,0.28082376241117224
S-GRID:NULLGEN,null_v2__display_transition_1__s43,0.11102555013877,0.23237399301189704,0.41764012,0.03649829950232778,0.2706372393665534,0.053865422906962536,0.35320843982579214
S-GRID:NULLGEN,null_v2__earth_wave_3__s42,0.22645598326972174,0.12669834528981255,0.5879303,0.13753736784856074,0.2622402579433213,0.19994157944980298,0.23298476606814472
S-GRID:NULLGEN,null_v2__earth_wave_3__s43,0.3088097440507729,0.09793568983416404,0.665457,0.1674996253746445,0.25288080754935627,0.1380430035837452,0.28715028422674516
S-GRID:NULLGEN,null_v2__melt_transition_2__s42,0.0916887068672598,0.19835754324688354,0.40633452,0.04094920275551233,0.24946567359500713,0.04627539266941425,0.24454173539333224
S-GRID:NULLGEN,null_v2__melt_transition_2__s43,0.25215665753312944,0.08135597542805155,0.6280903,0.07073233319489833,0.22459994559771443,0.10005495915077017,0.24913139188417954
S-GRID:NULLGEN,null_v2__raven_transition_2__s42,0.16145022007272516,0.1697029910152975,0.55958086,0.07874354821127719,0.2792424666442328,0.12199587304547094,0.2636025080194778
S-GRID:NULLGEN,null_v2__raven_transition_2__s43,0.2658280990738337,0.1466187456357734,0.67991674,0.1173950831958953,0.3243070484592997,0.11634408641354353,0.33955238526745113
S-GRID:NULLGEN,null_v2__air_bending_1__s42,0.06044270642579002,0.22404158406791025,0.31600687,0.039150053710636505,0.2553735636433856,0.05263690108545675,0.2322918711826914
S-GRID:NULLGEN,null_v2__air_bending_1__s43,0.05956433519286289,0.24085177852256437,0.33830705,0.04289136066339688,0.2879515024742019,0.05853765106473606,0.24647060584300032
S-GRID:NULLGEN,null_v2__giant_grab_3__s42,0.24084182106724697,0.1626531289685105,0.6508219,0.20326660717225992,0.13890881749178272,0.279503168479115,0.1546515063766484
S-GRID:NULLGEN,null_v2__giant_grab_3__s43,0.21599599880741902,0.08946046479471227,0.64559954,0.0823482008152985,0.22516782197547636,0.08244355082221373,0.20222744167999657
S-GRID:NULLGEN,null_v2__water_bending_3__s42,0.22954537442665454,0.07616869910019002,0.5877313,0.06220792611833422,0.21131511533407554,0.059643443653217956,0.20487211519867238
S-GRID:NULLGEN,null_v2__water_bending_3__s43,0.18999477686696598,0.15424186448012744,0.6025533,0.06734301698811984,0.2955717134809931,0.08757197098059777,0.23208712103832385
S-GRID:NULLGEN,null_v2__firelava_4__s42,0.20794641998198926,0.12963825552043043,0.5903203,0.036741856595448395,0.24565250996089713,0.08293526135370091,0.21112526443974186
S-GRID:NULLGEN,null_v2__firelava_4__s43,0.20692002763564057,0.11419114152719058,0.56896234,0.08686639640183026,0.21629152604848556,0.11018394628558896,0.16823214289196467
S-GRID:NULLGEN,null_v2__flying_cam_transition_4__s42,0.18960989185160332,0.14256872577265683,0.60630757,0.042447240403902804,0.24690406279723576,0.05207690658399947,0.22023611951139266
S-GRID:NULLGEN,null_v2__flying_cam_transition_4__s43,0.21249289873564697,0.07872068683040119,0.63188016,0.08145708027764584,0.18685147149626535,0.04378127250181708,0.2195366552803367
S-GRID-F:NULLGEN,gridF_v2__davis_bear_elephant__s42,0.2573013832813321,0.14898308102187632,0.7069554,0.10006628395407974,0.23921676126814173,0.08400702007503226,0.2177151764811651
S-GRID-F:NULLGEN,gridF_v2__davis_bear_elephant__s43,0.3484048877637085,0.1329023327898787,0.7462556,0.12556928040705398,0.21812961167050468,0.0612992271875796,0.28323963258687446
S-GRID-F:NULLGEN,gridF_v2__davis_tennis_snowboard__s42,0.40118435843059286,0.19723840413479293,0.84113675,0.22430237112075807,0.12104508634694151,0.14360420452244702,0.15133213155167444
S-GRID-F:NULLGEN,gridF_v2__davis_tennis_snowboard__s43,0.4370335954180356,0.22603870384593852,0.8231423,0.25635031421549503,0.11406101031837151,0.15583364531473023,0.2052157671734377
S-GRID-F:NULLGEN,gridF_v2__davis_blackswan_rhino__s42,0.30502576342706955,0.15770071572138686,0.7881458,0.2221721719664367,0.15870623578572937,0.039039470627247615,0.2917597066972857
S-GRID-F:NULLGEN,gridF_v2__davis_blackswan_rhino__s43,0.31879758260788965,0.1582388465544497,0.7832045,0.2178994610365933,0.09320355678946175,0.058003757740453424,0.2616856316705022
S-GRID:NULLGEN,null_v3__hero_flight_1__s42,0.16746142596980307,0.22675344597247402,0.5632401,0.03148069010777318,0.3133978890499535,0.07171247794623074,0.29104527197263247
S-GRID:NULLGEN,null_v3__hero_flight_1__s43,0.17654075486286075,0.18598041318575279,0.597841,0.06169342954872029,0.2583190972937574,0.08202457909381594,0.24273061178559618
S-GRID:NULLGEN,null_v3__shadow_smoke_2__s42,0.08999412581928733,0.21661171129108672,0.40982497,0.01921257270473922,0.2673155536169264,0.016936190350801208,0.27060584702662516
S-GRID:NULLGEN,null_v3__shadow_smoke_2__s43,0.0952162151039292,0.3226325715117485,0.40350014,0.03604553421036882,0.39208022306888823,0.03137126277164601,0.3933270575029294
S-GRID:NULLGEN,null_v3__hero_flight_5__s42,0.24523897546254955,0.2974572957091169,0.6670173,0.08419446140014256,0.47670771168020143,0.08702518078973183,0.49074856344647527
S-GRID:NULLGEN,null_v3__hero_flight_5__s43,0.24346639568518638,0.2647512740030733,0.7004778,0.04330793599862234,0.40797737971792886,0.0587762923235003,0.4294570410905654
S-GRID:NULLGEN,null_v3__shadow_smoke_0__s42,0.30041505156806864,0.16017552227158652,0.6986093,0.14767270967083104,0.3331784096040967,0.061335923983073526,0.4001593872962047
S-GRID:NULLGEN,null_v3__shadow_smoke_0__s43,0.3342119061102306,0.1381250061131549,0.7434315,0.16160008297693104,0.25580174584049337,0.09322846799132511,0.28645385982587523
S-GRID:NULLGEN,null_v3__air_bending_1__s42,0.06044270642579002,0.22404158406791025,0.31600687,0.039150053710636505,0.2553735636433856,0.05263690108545675,0.2322918711826914
S-GRID:NULLGEN,null_v3__air_bending_1__s43,0.05956433519286289,0.24085177852256437,0.33830705,0.04289136066339688,0.2879515024742019,0.05853765106473606,0.24647060584300032
S-GRID:NULLGEN,null_v3__display_transition_1__s42,0.1258604557658286,0.1878512847648975,0.4332825,0.09059038981768773,0.24334461716245495,0.07573801980723123,0.28082376241117224
S-GRID:NULLGEN,null_v3__display_transition_1__s43,0.11102555013877,0.23237399301189704,0.41764012,0.03649829950232778,0.2706372393665534,0.053865422906962536,0.35320843982579214
S-GRID:NULLGEN,null_v3__earth_wave_3__s42,0.22645598326972174,0.12669834528981255,0.5879303,0.13753736784856074,0.2622402579433213,0.19994157944980298,0.23298476606814472
S-GRID:NULLGEN,null_v3__earth_wave_3__s43,0.3088097440507729,0.09793568983416404,0.665457,0.1674996253746445,0.25288080754935627,0.1380430035837452,0.28715028422674516
S-GRID:NULLGEN,null_v3__earth_wave_5__s42,0.20377945255113197,0.12482293385985732,0.6007104,0.04335278324518593,0.22942840661724848,0.03917855235967467,0.24019248940170673
S-GRID:NULLGEN,null_v3__earth_wave_5__s43,0.19792659962382428,0.11540721087041685,0.5731267,0.08910774003958694,0.2056529128259508,0.04923062438932768,0.2362552829233913
S-GRID:NULLGEN,null_v3__firelava_4__s42,0.20794641998198926,0.12963825552043043,0.5903203,0.036741856595448395,0.24565250996089713,0.08293526135370091,0.21112526443974186
