group,clip_id,gini_dino,step_dino,lerp_dino,gini_pix,step_pix
S-GRID:NULLGEN,null_v2__hero_flight_1__s42,0.8082922670950579,0.13492201463537132,0.29216471279256895,0.8466564109575232,0.08663223173949362
S-GRID:NULLGEN,null_v2__hero_flight_1__s43,0.6529319903964677,0.12526353966654372,0.24465430922589232,0.8241018675569847,0.0809169660508304
S-GRID:NULLGEN,null_v2__shadow_smoke_2__s42,0.8344835792158682,0.09181767119692952,0.27296965268006124,0.8508110280021992,0.10036545740379968
S-GRID:NULLGEN,null_v2__shadow_smoke_2__s43,0.8611658609353066,0.07813657557912515,0.3978482787368991,0.8833229787839716,0.07484524875966136
S-GRID:NULLGEN,null_v2__hero_flight_5__s42,0.9359807146415018,0.016413266753252075,0.4908147607070273,0.9303146518108028,0.03589360001823175
S-GRID:NULLGEN,null_v2__hero_flight_5__s43,0.8995609338130115,0.0891773493008278,0.4306185337765562,0.8385762627067124,0.10684623726584819
S-GRID:NULLGEN,null_v2__shadow_smoke_0__s42,0.8209944030664342,0.12025325768313351,0.40237933992240066,0.8009132310529625,0.17590306684377147
S-GRID:NULLGEN,null_v2__shadow_smoke_0__s43,0.7041103042501995,0.14946281444447412,0.28750404654479966,0.6653918876751015,0.19103957610419192
S-GRID:NULLGEN,null_v2__hero_flight_6__s42,0.5791897615627513,0.14368299169897036,0.38067868741807903,0.6512571241634759,0.15882409476411666
S-GRID:NULLGEN,null_v2__hero_flight_6__s43,0.5553334431940844,0.16190075387724837,0.38284889898414487,0.6734094049563255,0.16699877980160724
S-GRID:NULLGEN,null_v2__shadow_smoke_7__s42,0.8471026112946196,0.07779849017872324,0.44521159110901226,0.8658592980741113,0.08621151858441015
S-GRID:NULLGEN,null_v2__shadow_smoke_7__s43,0.8521724893103144,0.1507714165793366,0.3577397950443331,0.8615046070235826,0.20048071155914013
S-GRID:NULLGEN,null_v2__display_transition_1__s42,0.9344666699082493,0.02354024147585222,0.2887763004393613,0.8614401043778945,0.07462845094064305
S-GRID:NULLGEN,null_v2__display_transition_1__s43,0.9143902231003354,0.12960531838177528,0.3550022248889181,0.7716916072307771,0.11432505560557235
S-GRID:NULLGEN,null_v2__earth_wave_3__s42,0.7805311341700825,0.2379523473653883,0.2347686480033424,0.7953995562049854,0.17275058936734095
S-GRID:NULLGEN,null_v2__earth_wave_3__s43,0.6891921993896157,0.18900826513459856,0.2899173981270393,0.6467862414884731,0.20100877814721776
S-GRID:NULLGEN,null_v2__melt_transition_2__s42,0.8942641655396684,0.12431556146638484,0.24660579733895993,0.8796407899900489,0.09752679541467431
S-GRID:NULLGEN,null_v2__melt_transition_2__s43,0.8011949376678353,0.13753053547499453,0.25085742217885976,0.7741458809937285,0.12489615857136935
S-GRID:NULLGEN,null_v2__raven_transition_2__s42,0.816086698970649,0.13971148823265672,0.26457353655373783,0.8935546353998833,0.07009519632672165
