space,stratum,tier,ref,default,descriptor,null,n_units,ref_med,def_med,null_med,ref_minus_def,def_minus_null,correct_dir,brief_criterion,paired_frac_correct,headroom_ratio,verdict
DINO,S-PROBE,high,R1,R3,step_share,DINOLERP,90,0.0299,0.071,0.0095,-0.0411,0.0615,False,False,0.067,0.669,WRONG
DINO,S-PROBE,high,R2,R3,DR,LERP,90,0.3062,0.1813,0.382,0.1249,-0.2007,False,False,0.122,0.622,WRONG
DINO,S-PROBE,high,R2,R3,DR,CUT50,90,0.3062,0.1813,0.0,0.1249,0.1813,True,True,0.878,0.689,RIGHT
DINO,S-PROBE,high,R2,R3,DR,FREEZE,90,0.3062,0.1813,0.0,0.1249,0.1813,True,True,0.878,0.689,RIGHT
DINO,S-PROBE,high,R2,R3,DR,DINOLERP,90,0.3062,0.1813,0.0,0.1249,0.1813,True,True,0.878,0.689,RIGHT
DINO,S-PROBE,high,R2,R3,M,LERP,90,0.2885,0.0481,0.2596,0.2404,-0.2115,False,True,0.078,1.136,WRONG(N between default and ref)
DINO,S-PROBE,high,R2,R3,M,CUT50,90,0.2885,0.0481,0.0,0.2404,0.0481,True,True,0.811,5.0,RIGHT
DINO,S-PROBE,high,R2,R3,M,FREEZE,90,0.2885,0.0481,0.0,0.2404,0.0481,True,True,0.811,5.0,RIGHT
DINO,S-PROBE,high,R2,R3,M,DINOLERP,90,0.2885,0.0481,0.5,0.2404,-0.4519,False,False,0.056,0.532,WRONG
DINO,S-PROBE,high,R2,R3,cross,LERP,90,0.2885,0.2837,0.4712,0.0048,-0.1875,False,False,0.356,0.026,no-gap(|ref-def|<0.02)
DINO,S-PROBE,high,R2,R3,cross,CUT50,90,0.2885,0.2837,0.5,0.0048,-0.2163,False,False,0.344,0.022,no-gap(|ref-def|<0.02)
DINO,S-PROBE,high,R2,R3,cross,FREEZE,90,0.2885,0.2837,1.0,0.0048,-0.7163,False,False,0.378,0.007,no-gap(|ref-def|<0.02)
