group,cls,clip_id,gini,offline,DR
GT:all-two-sided,air_bending,GT__air_bending_0,0.5966223402291035,0.6337972165502938,0.6121758156903672
GT:all-two-sided,air_bending,GT__air_bending_1,0.5336169502816108,0.4498189864220742,0.4395300466825022
GT:all-two-sided,air_bending,GT__air_bending_2,0.6078331003812627,0.43378164994125645,0.4235493946055755
GT:all-two-sided,air_bending,GT__air_bending_3,0.551940494000708,0.5393305724594026,0.5446433578802089
GT:all-two-sided,display_transition,GT__display_transition_0,0.6571923107702391,0.4226480691114474,0.2996630906228239
GT:all-two-sided,display_transition,GT__display_transition_1,0.6246096127647924,0.3922722482809735,0.32109614718207435
GT:all-two-sided,display_transition,GT__display_transition_2,0.5056235158774758,0.49695991369243914,0.5179782584970056
GT:all-two-sided,display_transition,GT__display_transition_3,0.6639435303422054,0.4137466521130064,0.28318441256018745
GT:all-two-sided,earth_wave,GT__earth_wave_0,0.5828370387301942,0.6622783129336967,0.8630069894969801
GT:all-two-sided,earth_wave,GT__earth_wave_1,0.5859406066673374,0.6595739662691753,0.8336895556986934
GT:all-two-sided,earth_wave,GT__earth_wave_2,0.49447587728166154,0.5464899477989794,0.6151712975745368
GT:all-two-sided,earth_wave,GT__earth_wave_3,0.48515334791139897,0.6230618552505883,0.7567264680831371
GT:all-two-sided,earth_wave,GT__earth_wave_4,0.5383345352635838,0.6088323429885023,0.5777939073169269
GT:all-two-sided,earth_wave,GT__earth_wave_5,0.5923722511697247,0.6693322876711107,0.8488495145447306
GT:all-two-sided,firelava,GT__firelava_0,0.6062341860834513,0.5920272200144245,0.7663115734162789
GT:all-two-sided,firelava,GT__firelava_1,0.47062154289087577,0.5889673896264276,0.6081423257703455
GT:all-two-sided,firelava,GT__firelava_2,0.4750596140976924,0.7350613862056812,0.8473603135784387
GT:all-two-sided,firelava,GT__firelava_3,0.4985305539402387,0.48044680602428463,0.5264581455636989
GT:all-two-sided,firelava,GT__firelava_4,0.5112766433245841,0.6425367791978113,0.6756782497597289
GT:all-two-sided,firelava,GT__firelava_5,0.4862666183930997,0.6496053551361005,0.7471483320254084
GT:all-two-sided,flame,GT__flame_transition_0,0.5327716803609861,0.5214621774039332,0.49284037271504266
GT:all-two-sided,flame,GT__flame_transition_1,0.5523752062060929,0.4704256907745773,0.4384678796157347
GT:all-two-sided,flame,GT__flame_transition_2,0.536687778233393,0.5299080504411259,0.506983981081397
GT:all-two-sided,flame,GT__flame_transition_3,0.5556794690642215,0.4709464714832823,0.43780049868081883
GT:all-two-sided,flame,GT__flame_transition_4,0.5151028770210226,0.5253507829854854,0.4986446414557286
GT:all-two-sided,flying_cam_transition,GT__flying_cam_transition_0,0.5859226759564438,0.4330124664318643,0.45040720547468266
GT:all-two-sided,flying_cam_transition,GT__flying_cam_transition_1,0.5482694364981724,0.48064823499939396,0.5285303719227441
GT:all-two-sided,flying_cam_transition,GT__flying_cam_transition_2,0.49174921002441474,0.4466481661126354,0.4398499533357743
GT:all-two-sided,flying_cam_transition,GT__flying_cam_transition_3,0.5522089335553737,0.47690064502880697,0.4976334116349665
GT:all-two-sided,flying_cam_transition,GT__flying_cam_transition_4,0.5466877440297058,0.5050685484515647,0.5022898910625503
GT:all-two-sided,giant_grab,GT__giant_grab_0,0.6452679539882673,0.37798211344339416,0.4188844966534746
GT:all-two-sided,giant_grab,GT__giant_grab_1,0.5380547531241804,0.475549872528678,0.5367106058602433
GT:all-two-sided,giant_grab,GT__giant_grab_2,0.6106349070754618,0.3968449643553834,0.46141321079259245
GT:all-two-sided,giant_grab,GT__giant_grab_3,0.5939443870101282,0.5096484101608545,0.4547403428464759
GT:all-two-sided,giant_grab,GT__giant_grab_4,0.47763466330625004,0.49861728343409895,0.5537156300134864
GT:all-two-sided,giant_grab,GT__giant_grab_5,0.6289092417089421,0.38575879542135627,0.4134377541359462
GT:all-two-sided,hero_flight,GT__hero_flight_0,0.5569378577192297,0.5379135440798196,0.4636593536147237
GT:all-two-sided,hero_flight,GT__hero_flight_1,0.5337976852685815,0.6011577629350581,0.6994571815849344
GT:all-two-sided,hero_flight,GT__hero_flight_2,0.7513547931308069,0.48130064301844466,0.4490978485589182
GT:all-two-sided,hero_flight,GT__hero_flight_3,0.5552365854695029,0.5646751949261684,0.6227947904412876
GT:all-two-sided,hero_flight,GT__hero_flight_4,0.7525618303081987,0.39604579742528934,0.3546633084308607
