space,group,n,swap_tail_frac,jump_med,s_cross_med,never_crossed_frac,s_cross_iqr,DR_med,M_med,nu_max_med,step_share_med,path_over_gap_med
PIX,S-GRID-F:NULLGEN,38,0.5526315789473685,0.5815194212129734,0.4666666666666667,0.0,0.31904761904761914,0.2881424812541229,0.0528846153846153,0.7965632147511474,0.09194398918106225,7.703699372844072
PIX,S-GRID:GT,19,0.05263157894736842,0.1661488533379472,0.4571428571428571,0.0,0.2238095238095239,0.6044117391502029,0.4038461538461538,1.0627141707880432,0.0248172441525787,22.128124245045708
PIX,S-GRID:NULLGEN,68,0.45588235294117646,0.4383787738799449,0.36666666666666664,0.0,0.27380952380952384,0.2105193359387017,0.0576923076923076,0.782399772002864,0.0813195187576004,7.586029485481175
PIX,S-PROBE:R1:high,90,0.05555555555555555,0.18541687772603926,0.34375,0.0,0.234375,0.36705543560258785,0.2252252252252252,0.8191351067970088,0.0284088257331127,9.474587233326304
PIX,S-PROBE:R1:inplace,30,0.06666666666666667,0.15051627976796794,0.3392857142857143,0.0,0.19196428571428575,0.2781399171665765,0.2387387387387387,0.7181479479599054,0.03206304535509525,5.35734208900899
PIX,S-PROBE:R2:high,90,0.06666666666666667,0.22037363778106184,0.30476190476190473,0.0,0.2261904761904763,0.33442530761763434,0.2115384615384615,0.8277146512399914,0.031720195868071954,9.296124043958518
PIX,S-PROBE:R2:inplace,30,0.13333333333333333,0.18001912778614654,0.36666666666666664,0.0,0.18571428571428575,0.2913561497451684,0.2067307692307692,0.7059333486510626,0.047902560775873196,4.877312438530211
PIX,S-PROBE:R3:high,90,0.43333333333333335,0.44314649036218057,0.2857142857142857,0.0,0.16190476190476188,0.2062784452097406,0.0576923076923076,0.712824288287424,0.08632542063308149,5.03537567342376
PIX,S-PROBE:R3:inplace,30,0.13333333333333333,0.19004318286656235,0.35714285714285715,0.0,0.15952380952380957,0.2858735961414921,0.1826923076923076,0.749635776734689,0.048157958982611854,4.908584988264948
PIX,S-SWEEP:A_empty,10,0.3,0.27234738584260687,0.6597222222222222,0.0,0.22743055555555547,0.5607425036211916,0.2307692307692307,0.8653369171833101,0.0175035901064515,29.996473145576587
