space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
DINO,S-GRID:NULLGEN,null_v2__shadow_smoke_7__s42,0.065,8.0,0.0413614484369397,0.4428652649988951,0.0679360259592522,0.2713375777936509,0.6582736223864338,0.2760826326667001
DINO,S-GRID:NULLGEN,null_v2__shadow_smoke_7__s43,0.05,32.0,0.0803073324914824,0.3544547421967294,0.1411338193752935,0.2631198918606933,0.7786182898720674,0.2783877659917719
DINO,S-GRID:NULLGEN,null_v2__display_transition_1__s42,0.38,2.0,0.0237143224284324,0.2808237624111722,0.0368612743014075,0.1522290006144652,0.3251604181939199,0.1531132561162346
DINO,S-GRID:NULLGEN,null_v2__display_transition_1__s43,0.6950000000000001,16.0,0.0409712441802012,0.3532084398257921,0.1224499926798311,0.1801762487997179,0.8395061560536443,0.1913518569559268
DINO,S-GRID:NULLGEN,null_v2__earth_wave_3__s42,0.1,48.0,0.0778661394029822,0.2329847660681447,0.2274264238942438,0.3628767303899227,0.9451761764978458,0.3931146125178327
DINO,S-GRID:NULLGEN,null_v2__earth_wave_3__s43,0.02,48.0,0.044027785891265,0.2871502842267451,0.1752829663595425,0.3581754193966409,0.8664094917572158,0.3806813076146961
DINO,S-GRID:NULLGEN,null_v2__melt_transition_2__s42,0.375,16.0,0.0348391163034784,0.2445417353933322,0.1116238543929947,0.1582478448925718,0.8739274048219206,0.1675911852434458
DINO,S-GRID:NULLGEN,null_v2__melt_transition_2__s43,0.195,32.0,0.0508260244211268,0.2491313918841795,0.1280938116961977,0.2526387234072413,0.7774957919464294,0.2669139705441483
DINO,S-GRID:NULLGEN,null_v2__raven_transition_2__s42,0.165,32.0,0.1103131729224818,0.2636025080194778,0.1320224727994324,0.3673377156050728,0.369200592975019,0.3822601976338376
DINO,S-GRID:NULLGEN,null_v2__raven_transition_2__s43,0.02,32.0,0.0982311160902095,0.3395523852674511,0.1279587037021393,0.3770298568956312,0.554191912223784,0.3931230475101852
DINO,S-GRID:NULLGEN,null_v2__air_bending_1__s42,0.44,16.0,0.0503719601668906,0.2322918711826914,0.1145913228208881,0.2561616293351911,0.9145329685207771,0.2665921995371146
DINO,S-GRID:NULLGEN,null_v2__air_bending_1__s43,0.305,12.0,0.058537651064736,0.2464706058430003,0.0750906707612424,0.2880940184390095,0.5637069489877484,0.2979716544457164
DINO,S-GRID:NULLGEN,null_v2__giant_grab_3__s42,0.0,80.0,0.1159615767377621,0.1546515063766484,0.3007882096700262,0.6889525085256782,0.8286177277211246,0.7466977242083898
DINO,S-GRID:NULLGEN,null_v2__giant_grab_3__s43,0.47,16.0,0.0809055136200402,0.2022274416799965,0.109259689644833,0.4671995599463753,0.4358907385619454,0.4814753108863173
DINO,S-GRID:NULLGEN,null_v2__water_bending_3__s42,0.45,12.0,0.0596434436532179,0.2048721151986723,0.0996979196189896,0.2835562824453209,0.4695258640275807,0.2945118118506518
DINO,S-GRID:NULLGEN,null_v2__water_bending_3__s43,0.25,24.0,0.0430990185945816,0.2320871210383238,0.1403597764045465,0.3144986782196902,0.7816379398235233,0.3321321169286461
