recipe,clip,latent_frame,sqerr,frac_of_clip_total,is_conditioned,region
exp_030,shadow_smoke_4,8,6827.6923828125,0.09572979422881099,0,middle
exp_030,shadow_smoke_4,9,3642.648681640625,0.051072893913487086,0,middle
exp_030,shadow_smoke_4,10,1431.2119140625,0.020066753794579728,0,middle
exp_030,shadow_smoke_4,11,306.4113464355469,0.004296136014781167,0,middle
exp_030,shadow_smoke_4,12,33103.375,0.46413621167328906,1,end
exp_030,shadow_smoke_4,13,2872.69580078125,0.04027752899105831,1,end
exp_030,shadow_smoke_4,14,648.879150390625,0.009097812857332133,1,end
exp_030,shadow_smoke_4,15,912.1372680664062,0.012788905545925912,1,end
exp_030,shadow_smoke_5,0,23258.17578125,0.04158239405748961,1,start
exp_030,shadow_smoke_5,1,19237.134765625,0.034393330151289286,1,start
exp_030,shadow_smoke_5,2,19479.4453125,0.034826547818023273,1,start
exp_030,shadow_smoke_5,3,12406.40234375,0.02218092751321742,1,start
exp_030,shadow_smoke_5,4,33157.44921875,0.05928092264513629,0,middle
exp_030,shadow_smoke_5,5,43528.28515625,0.07782253961091548,0,middle
exp_030,shadow_smoke_5,6,49700.7265625,0.08885800917075809,0,middle
exp_030,shadow_smoke_5,7,50887.6640625,0.09098008887773151,0,middle
exp_030,shadow_smoke_5,8,53644.25390625,0.09590848937722786,0,middle
exp_030,shadow_smoke_5,9,63372.4375,0.11330113304212913,0,middle
exp_030,shadow_smoke_5,10,47451.15234375,0.08483608232209083,0,middle
exp_030,shadow_smoke_5,11,8127.365234375,0.014530602356929965,0,middle
exp_030,shadow_smoke_5,12,44765.1328125,0.08003385175830806,1,end
exp_030,shadow_smoke_5,13,30000.087890625,0.053635998289812824,1,end
exp_030,shadow_smoke_5,14,30688.333984375,0.05486648689511058,1,end
exp_030,shadow_smoke_5,15,29623.435546875,0.052962596113829793,1,end
exp_030,shadow_smoke_6,0,18697.55859375,0.04299430248412993,1,start
exp_030,shadow_smoke_6,1,17517.90234375,0.04028172921497873,1,start
exp_030,shadow_smoke_6,2,15751.6650390625,0.0362203358220535,1,start
exp_030,shadow_smoke_6,3,10513.0537109375,0.024174354582904806,1,start
